Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
als,Hybrid (Classical+Quantum),50,0.9333333333333333,
als,Hybrid (Classical+Quantum),100,0.9333333333333333,
als,Hybrid (Classical+Quantum),200,0.95,
als,Hybrid (Classical+Quantum),300,0.9888888888888889,
als,Hybrid (Classical+Quantum),400,1.0,
als,Logistic Regression,50,0.9333333333333333,
als,Logistic Regression,100,0.9333333333333333,
als,Logistic Regression,200,0.9833333333333333,
als,Logistic Regression,300,0.9777777777777777,
als,Logistic Regression,400,0.9916666666666667,
als,QK-SVM (Noiseless),50,0.8,
als,QK-SVM (Noiseless),100,0.5,
als,QK-SVM (Noiseless),200,0.45,
als,QK-SVM (Noiseless),300,0.5555555555555556,
als,QK-SVM (Noiseless),400,0.575,
als,QK-SVM (Noisy),50,0.7333333333333333,
als,QK-SVM (Noisy),100,0.5666666666666667,
als,QK-SVM (Noisy),200,0.43333333333333335,
als,QK-SVM (Noisy),300,0.5555555555555556,
als,QK-SVM (Noisy),400,0.5666666666666667,
als,Random Forest,50,0.9333333333333333,
als,Random Forest,100,0.9333333333333333,
als,Random Forest,200,0.9833333333333333,
als,Random Forest,300,0.9777777777777777,
als,Random Forest,400,0.9916666666666667,
als,SVM,50,0.9333333333333333,
als,SVM,100,0.9333333333333333,
als,SVM,200,0.9833333333333333,
als,SVM,300,0.9777777777777777,
als,SVM,400,0.9916666666666667,
