Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
breast_cancer,Hybrid (Classical+Quantum),50,0.9333333333333333,
breast_cancer,Hybrid (Classical+Quantum),100,0.9666666666666667,
breast_cancer,Hybrid (Classical+Quantum),200,0.95,
breast_cancer,Hybrid (Classical+Quantum),300,0.9,
breast_cancer,Hybrid (Classical+Quantum),400,0.9416666666666667,
breast_cancer,Logistic Regression,50,1.0,
breast_cancer,Logistic Regression,100,1.0,
breast_cancer,Logistic Regression,200,1.0,
breast_cancer,Logistic Regression,300,0.9333333333333333,
breast_cancer,Logistic Regression,400,0.975,
breast_cancer,QK-SVM (Noiseless),50,0.6666666666666666,
breast_cancer,QK-SVM (Noiseless),100,0.5333333333333333,
breast_cancer,QK-SVM (Noiseless),200,0.6,
breast_cancer,QK-SVM (Noiseless),300,0.5888888888888889,
breast_cancer,QK-SVM (Noiseless),400,0.625,
breast_cancer,QK-SVM (Noisy),50,0.6666666666666666,
breast_cancer,QK-SVM (Noisy),100,0.5666666666666667,
breast_cancer,QK-SVM (Noisy),200,0.6333333333333333,
breast_cancer,QK-SVM (Noisy),300,0.6222222222222222,
breast_cancer,QK-SVM (Noisy),400,0.6083333333333333,
breast_cancer,Random Forest,50,1.0,
breast_cancer,Random Forest,100,1.0,
breast_cancer,Random Forest,200,0.9666666666666667,
breast_cancer,Random Forest,300,0.9222222222222223,
breast_cancer,Random Forest,400,0.9666666666666667,
breast_cancer,SVM,50,1.0,
breast_cancer,SVM,100,1.0,
breast_cancer,SVM,200,0.9833333333333333,
breast_cancer,SVM,300,0.9222222222222223,
breast_cancer,SVM,400,0.9416666666666667,
