Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
indian_liver,Hybrid (Classical+Quantum),50,0.6666666666666666,
indian_liver,Hybrid (Classical+Quantum),100,0.6,
indian_liver,Hybrid (Classical+Quantum),200,0.7333333333333333,
indian_liver,Hybrid (Classical+Quantum),300,0.7222222222222222,
indian_liver,Hybrid (Classical+Quantum),400,0.65,
indian_liver,Logistic Regression,50,0.8,
indian_liver,Logistic Regression,100,0.6,
indian_liver,Logistic Regression,200,0.7166666666666667,
indian_liver,Logistic Regression,300,0.7111111111111111,
indian_liver,Logistic Regression,400,0.7,
indian_liver,QK-SVM (Noiseless),50,0.6666666666666666,
indian_liver,QK-SVM (Noiseless),100,0.7,
indian_liver,QK-SVM (Noiseless),200,0.7333333333333333,
indian_liver,QK-SVM (Noiseless),300,0.6888888888888889,
indian_liver,QK-SVM (Noiseless),400,0.7,
indian_liver,QK-SVM (Noisy),50,0.7333333333333333,
indian_liver,QK-SVM (Noisy),100,0.6666666666666666,
indian_liver,QK-SVM (Noisy),200,0.7333333333333333,
indian_liver,QK-SVM (Noisy),300,0.7,
indian_liver,QK-SVM (Noisy),400,0.7083333333333334,
indian_liver,Random Forest,50,0.6666666666666666,
indian_liver,Random Forest,100,0.6666666666666666,
indian_liver,Random Forest,200,0.7,
indian_liver,Random Forest,300,0.7111111111111111,
indian_liver,Random Forest,400,0.6833333333333333,
indian_liver,SVM,50,0.7333333333333333,
indian_liver,SVM,100,0.7,
indian_liver,SVM,200,0.7166666666666667,
indian_liver,SVM,300,0.7111111111111111,
indian_liver,SVM,400,0.7083333333333334,
