Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
acute_nephritis,Hybrid (Classical+Quantum),20,1.0,
acute_nephritis,Hybrid (Classical+Quantum),50,1.0,
acute_nephritis,Hybrid (Classical+Quantum),75,1.0,
acute_nephritis,Hybrid (Classical+Quantum),100,1.0,
acute_nephritis,Hybrid (Classical+Quantum),120,1.0,
acute_nephritis,Logistic Regression,20,1.0,
acute_nephritis,Logistic Regression,50,1.0,
acute_nephritis,Logistic Regression,75,1.0,
acute_nephritis,Logistic Regression,100,1.0,
acute_nephritis,Logistic Regression,120,1.0,
acute_nephritis,QK-SVM (Noiseless),20,1.0,
acute_nephritis,QK-SVM (Noiseless),50,1.0,
acute_nephritis,QK-SVM (Noiseless),75,0.9565217391304348,
acute_nephritis,QK-SVM (Noiseless),100,0.9666666666666667,
acute_nephritis,QK-SVM (Noiseless),120,0.9722222222222222,
acute_nephritis,QK-SVM (Noisy),20,1.0,
acute_nephritis,QK-SVM (Noisy),50,1.0,
acute_nephritis,QK-SVM (Noisy),75,1.0,
acute_nephritis,QK-SVM (Noisy),100,0.9333333333333332,
acute_nephritis,QK-SVM (Noisy),120,0.9722222222222222,
acute_nephritis,Random Forest,20,1.0,
acute_nephritis,Random Forest,50,1.0,
acute_nephritis,Random Forest,75,1.0,
acute_nephritis,Random Forest,100,1.0,
acute_nephritis,Random Forest,120,1.0,
acute_nephritis,SVM,20,1.0,
acute_nephritis,SVM,50,1.0,
acute_nephritis,SVM,75,1.0,
acute_nephritis,SVM,100,1.0,
acute_nephritis,SVM,120,1.0,
