Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
breast_cancer,Hybrid (Classical+Quantum),50,0.9333333333333333,
breast_cancer,Hybrid (Classical+Quantum),100,1.0,
breast_cancer,Hybrid (Classical+Quantum),200,0.9666666666666667,
breast_cancer,Hybrid (Classical+Quantum),350,0.9047619047619048,
breast_cancer,Hybrid (Classical+Quantum),500,0.9666666666666667,
breast_cancer,Logistic Regression,50,1.0,
breast_cancer,Logistic Regression,100,1.0,
breast_cancer,Logistic Regression,200,1.0,
breast_cancer,Logistic Regression,350,0.9238095238095239,
breast_cancer,Logistic Regression,500,0.9733333333333334,
breast_cancer,QK-SVM (Noiseless),50,0.6666666666666666,
breast_cancer,QK-SVM (Noiseless),100,0.5333333333333333,
breast_cancer,QK-SVM (Noiseless),200,0.6,
breast_cancer,QK-SVM (Noiseless),350,0.6285714285714286,
breast_cancer,QK-SVM (Noiseless),500,0.6,
breast_cancer,QK-SVM (Noisy),50,0.6666666666666666,
breast_cancer,QK-SVM (Noisy),100,0.5666666666666667,
breast_cancer,QK-SVM (Noisy),200,0.6333333333333333,
breast_cancer,QK-SVM (Noisy),350,0.6190476190476191,
breast_cancer,QK-SVM (Noisy),500,0.6066666666666667,
breast_cancer,Random Forest,50,1.0,
breast_cancer,Random Forest,100,1.0,
breast_cancer,Random Forest,200,0.9666666666666667,
breast_cancer,Random Forest,350,0.9142857142857143,
breast_cancer,Random Forest,500,0.96,
breast_cancer,SVM,50,1.0,
breast_cancer,SVM,100,0.9666666666666667,
breast_cancer,SVM,200,0.9666666666666667,
breast_cancer,SVM,350,0.9523809523809523,
breast_cancer,SVM,500,0.9733333333333334,
