Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
heart_disease,Hybrid (Classical+Quantum),20,0.8333333333333334,
heart_disease,Hybrid (Classical+Quantum),50,0.8666666666666667,
heart_disease,Hybrid (Classical+Quantum),100,0.8666666666666667,
heart_disease,Hybrid (Classical+Quantum),150,0.8,
heart_disease,Hybrid (Classical+Quantum),220,0.7575757575757576,
heart_disease,Logistic Regression,20,0.8333333333333334,
heart_disease,Logistic Regression,50,0.8,
heart_disease,Logistic Regression,100,0.8666666666666667,
heart_disease,Logistic Regression,150,0.8,
heart_disease,Logistic Regression,220,0.8333333333333334,
heart_disease,QK-SVM (Noiseless),20,0.6666666666666666,
heart_disease,QK-SVM (Noiseless),50,0.6666666666666666,
heart_disease,QK-SVM (Noiseless),100,0.5333333333333333,
heart_disease,QK-SVM (Noiseless),150,0.5555555555555556,
heart_disease,QK-SVM (Noiseless),220,0.5,
heart_disease,QK-SVM (Noisy),20,0.5,
heart_disease,QK-SVM (Noisy),50,0.6,
heart_disease,QK-SVM (Noisy),100,0.5,
heart_disease,QK-SVM (Noisy),150,0.5555555555555556,
heart_disease,QK-SVM (Noisy),220,0.4545454545454545,
heart_disease,Random Forest,20,0.8333333333333334,
heart_disease,Random Forest,50,0.9333333333333333,
heart_disease,Random Forest,100,0.8333333333333334,
heart_disease,Random Forest,150,0.7555555555555555,
heart_disease,Random Forest,220,0.7575757575757576,
heart_disease,SVM,20,0.8333333333333334,
heart_disease,SVM,50,0.6666666666666666,
heart_disease,SVM,100,0.9,
heart_disease,SVM,150,0.8,
heart_disease,SVM,220,0.8181818181818182,
