Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
heart_failure,Hybrid (Classical+Quantum),50,0.7333333333333333,
heart_failure,Hybrid (Classical+Quantum),100,0.6,
heart_failure,Hybrid (Classical+Quantum),150,0.8,
heart_failure,Hybrid (Classical+Quantum),200,0.7666666666666667,
heart_failure,Hybrid (Classical+Quantum),299,0.7777777777777778,
heart_failure,Logistic Regression,50,0.6666666666666666,
heart_failure,Logistic Regression,100,0.7,
heart_failure,Logistic Regression,150,0.7555555555555555,
heart_failure,Logistic Regression,200,0.8166666666666667,
heart_failure,Logistic Regression,299,0.8333333333333334,
heart_failure,QK-SVM (Noiseless),50,0.6,
heart_failure,QK-SVM (Noiseless),100,0.6333333333333333,
heart_failure,QK-SVM (Noiseless),150,0.6222222222222222,
heart_failure,QK-SVM (Noiseless),200,0.6833333333333333,
heart_failure,QK-SVM (Noiseless),299,0.6888888888888889,
heart_failure,QK-SVM (Noisy),50,0.6666666666666666,
heart_failure,QK-SVM (Noisy),100,0.6333333333333333,
heart_failure,QK-SVM (Noisy),150,0.6666666666666666,
heart_failure,QK-SVM (Noisy),200,0.6833333333333333,
heart_failure,QK-SVM (Noisy),299,0.7,
heart_failure,Random Forest,50,0.7333333333333333,
heart_failure,Random Forest,100,0.5666666666666667,
heart_failure,Random Forest,150,0.7333333333333333,
heart_failure,Random Forest,200,0.75,
heart_failure,Random Forest,299,0.7666666666666667,
heart_failure,SVM,50,0.8,
heart_failure,SVM,100,0.7333333333333333,
heart_failure,SVM,150,0.6888888888888889,
heart_failure,SVM,200,0.7666666666666667,
heart_failure,SVM,299,0.8,
