Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
hepatitis_c,Hybrid (Classical+Quantum),15,0.8,
hepatitis_c,Hybrid (Classical+Quantum),30,0.7777777777777778,
hepatitis_c,Hybrid (Classical+Quantum),60,0.8888888888888888,
hepatitis_c,Hybrid (Classical+Quantum),90,0.8518518518518519,
hepatitis_c,Hybrid (Classical+Quantum),120,0.75,
hepatitis_c,Logistic Regression,15,1.0,
hepatitis_c,Logistic Regression,30,1.0,
hepatitis_c,Logistic Regression,60,0.9444444444444444,
hepatitis_c,Logistic Regression,90,0.8518518518518519,
hepatitis_c,Logistic Regression,120,0.9166666666666666,
hepatitis_c,QK-SVM (Noiseless),15,0.8,
hepatitis_c,QK-SVM (Noiseless),30,0.7777777777777778,
hepatitis_c,QK-SVM (Noiseless),60,0.7777777777777778,
hepatitis_c,QK-SVM (Noiseless),90,0.7777777777777778,
hepatitis_c,QK-SVM (Noiseless),120,0.7777777777777778,
hepatitis_c,QK-SVM (Noisy),15,0.8,
hepatitis_c,QK-SVM (Noisy),30,0.7777777777777778,
hepatitis_c,QK-SVM (Noisy),60,0.7777777777777778,
hepatitis_c,QK-SVM (Noisy),90,0.7777777777777778,
hepatitis_c,QK-SVM (Noisy),120,0.7777777777777778,
hepatitis_c,Random Forest,15,1.0,
hepatitis_c,Random Forest,30,0.8888888888888888,
hepatitis_c,Random Forest,60,0.8888888888888888,
hepatitis_c,Random Forest,90,0.8518518518518519,
hepatitis_c,Random Forest,120,0.8611111111111112,
hepatitis_c,SVM,15,1.0,
hepatitis_c,SVM,30,1.0,
hepatitis_c,SVM,60,0.7777777777777778,
hepatitis_c,SVM,90,0.8518518518518519,
hepatitis_c,SVM,120,0.8055555555555556,
