Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
parkinsons,Hybrid (Classical+Quantum),20,0.8333333333333334,
parkinsons,Hybrid (Classical+Quantum),50,0.9333333333333333,
parkinsons,Hybrid (Classical+Quantum),100,0.6666666666666666,
parkinsons,Hybrid (Classical+Quantum),150,0.9111111111111111,
parkinsons,Hybrid (Classical+Quantum),195,0.7457627118644068,
parkinsons,Logistic Regression,20,0.8333333333333334,
parkinsons,Logistic Regression,50,0.8666666666666667,
parkinsons,Logistic Regression,100,0.7333333333333333,
parkinsons,Logistic Regression,150,0.8666666666666667,
parkinsons,Logistic Regression,195,0.7966101694915254,
parkinsons,QK-SVM (Noiseless),20,0.6666666666666666,
parkinsons,QK-SVM (Noiseless),50,0.7333333333333333,
parkinsons,QK-SVM (Noiseless),100,0.7333333333333333,
parkinsons,QK-SVM (Noiseless),150,0.7777777777777778,
parkinsons,QK-SVM (Noiseless),195,0.7288135593220338,
parkinsons,QK-SVM (Noisy),20,0.6666666666666666,
parkinsons,QK-SVM (Noisy),50,0.7333333333333333,
parkinsons,QK-SVM (Noisy),100,0.7333333333333333,
parkinsons,QK-SVM (Noisy),150,0.7555555555555555,
parkinsons,QK-SVM (Noisy),195,0.7457627118644068,
parkinsons,Random Forest,20,0.8333333333333334,
parkinsons,Random Forest,50,0.8,
parkinsons,Random Forest,100,0.7333333333333333,
parkinsons,Random Forest,150,0.8666666666666667,
parkinsons,Random Forest,195,0.8983050847457628,
parkinsons,SVM,20,1.0,
parkinsons,SVM,50,0.8666666666666667,
parkinsons,SVM,100,0.7,
parkinsons,SVM,150,0.8666666666666667,
parkinsons,SVM,195,0.8813559322033898,
