Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
thyroid_disease,Hybrid (Classical+Quantum),50,0.8,
thyroid_disease,Hybrid (Classical+Quantum),100,0.6,
thyroid_disease,Hybrid (Classical+Quantum),250,0.68,
thyroid_disease,Hybrid (Classical+Quantum),500,0.7733333333333333,
thyroid_disease,Hybrid (Classical+Quantum),800,0.7833333333333333,
thyroid_disease,Logistic Regression,50,0.9333333333333333,
thyroid_disease,Logistic Regression,100,0.9333333333333333,
thyroid_disease,Logistic Regression,250,0.9333333333333333,
thyroid_disease,Logistic Regression,500,0.9333333333333333,
thyroid_disease,Logistic Regression,800,0.9291666666666667,
thyroid_disease,QK-SVM (Noiseless),50,0.9333333333333333,
thyroid_disease,QK-SVM (Noiseless),100,0.9333333333333333,
thyroid_disease,QK-SVM (Noiseless),250,0.9333333333333333,
thyroid_disease,QK-SVM (Noiseless),500,0.94,
thyroid_disease,QK-SVM (Noiseless),800,0.9333333333333333,
thyroid_disease,QK-SVM (Noisy),50,0.9333333333333332,
thyroid_disease,QK-SVM (Noisy),100,0.9333333333333332,
thyroid_disease,QK-SVM (Noisy),250,0.9333333333333332,
thyroid_disease,QK-SVM (Noisy),500,0.9333333333333332,
thyroid_disease,QK-SVM (Noisy),800,0.9333333333333332,
thyroid_disease,Random Forest,50,0.9333333333333333,
thyroid_disease,Random Forest,100,0.9333333333333333,
thyroid_disease,Random Forest,250,0.9333333333333333,
thyroid_disease,Random Forest,500,0.9066666666666666,
thyroid_disease,Random Forest,800,0.9291666666666667,
thyroid_disease,SVM,50,0.9333333333333333,
thyroid_disease,SVM,100,0.9333333333333333,
thyroid_disease,SVM,250,0.9333333333333333,
thyroid_disease,SVM,500,0.9333333333333333,
thyroid_disease,SVM,800,0.9333333333333333,
