Dataset,Model,Dataset Size,Mean Accuracy,Std Accuracy
wilsons_disease,Hybrid (Classical+Quantum),50,1.0,
wilsons_disease,Hybrid (Classical+Quantum),100,1.0,
wilsons_disease,Hybrid (Classical+Quantum),150,1.0,
wilsons_disease,Hybrid (Classical+Quantum),200,1.0,
wilsons_disease,Hybrid (Classical+Quantum),250,1.0,
wilsons_disease,Logistic Regression,50,1.0,
wilsons_disease,Logistic Regression,100,1.0,
wilsons_disease,Logistic Regression,150,1.0,
wilsons_disease,Logistic Regression,200,1.0,
wilsons_disease,Logistic Regression,250,1.0,
wilsons_disease,QK-SVM (Noiseless),50,0.6,
wilsons_disease,QK-SVM (Noiseless),100,0.5666666666666667,
wilsons_disease,QK-SVM (Noiseless),150,0.6222222222222222,
wilsons_disease,QK-SVM (Noiseless),200,0.7,
wilsons_disease,QK-SVM (Noiseless),250,0.8,
wilsons_disease,Random Forest,50,1.0,
wilsons_disease,Random Forest,100,1.0,
wilsons_disease,Random Forest,150,1.0,
wilsons_disease,Random Forest,200,1.0,
wilsons_disease,Random Forest,250,1.0,
wilsons_disease,SVM,50,1.0,
wilsons_disease,SVM,100,1.0,
wilsons_disease,SVM,150,1.0,
wilsons_disease,SVM,200,1.0,
wilsons_disease,SVM,250,1.0,
